央视频道,#genre#
CETV3HD,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226722/1.m3u8$rrs01
CETV4HD,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226724/1.m3u8$rrs01
移动卫视V4,#genre#
北京卫视,http://120.196.232.124:8088/PLTV/651/224/3221227610/1.m3u8?HlsProfileId=
东方卫视,http://120.196.232.124:8088/PLTV/651/224/3221227575/1.m3u8?HlsProfileId=
天津卫视,http://120.196.232.124:8088/PLTV/651/224/3221227632/1.m3u8?HlsProfileId=
重庆卫视,http://120.196.232.124:8088/PLTV/651/224/3221227642/1.m3u8?HlsProfileId=
黑龙江卫视,http://120.196.232.124:8088/PLTV/651/224/3221227609/1.m3u8?HlsProfileId=
吉林卫视,http://120.196.232.124:8088/PLTV/651/224/3221227618/1.m3u8?HlsProfileId=
辽宁卫视,http://120.196.232.124:8088/PLTV/651/224/3221227617/1.m3u8?HlsProfileId=
内蒙古卫视,http://120.196.232.124:8088/PLTV/651/224/3221227587/1.m3u8?HlsProfileId=
宁夏卫视,http://120.196.232.124:8088/PLTV/651/224/3221227624/1.m3u8?HlsProfileId=
甘肃卫视,http://120.196.232.124:8088/PLTV/651/224/3221227612/1.m3u8?HlsProfileId=
青海卫视,http://120.196.232.124:8088/PLTV/651/224/3221227626/1.m3u8?HlsProfileId=
