
央视卫视,#genre#
邓紫棋节目,https://vd2.bdstatic.com/mda-pa5hpxjksncws3p2/sc/cae_h264/1673057581690768090/mda-pa5hpxjksncws3p2.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1701100281-0-0-eaa2276dc233f1d1123ede9668853d4e&bcevod_channel=searchbox_feed&cr=2&cd=0&pd=1&pt=3&logid=3081663585&vid=2852208861466033833&klogid=3081663585&abtest=114240_2-114675_1
邓紫棋MV,https://vd4.bdstatic.com/mda-nm0apcsxe99pykub/sc/cae_h264/1669886642256731767/mda-nm0apcsxe99pykub.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1701100322-0-0-a520dcf4a328dced202c87e79d70ae17&bcevod_channel=searchbox_feed&cr=2&cd=0&pd=1&pt=3&logid=3122513605&vid=8034797116456445175&klogid=3122513605&abtest=114240_2-114675_1
林俊杰,https://vd2.bdstatic.com/mda-nakk3949nijnscgq/sc/cae_h264_delogo/1642780930370813401/mda-nakk3949nijnscgq.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1701100567-0-0-ecb0e6ef0339b53805d4665e7eae4894&bcevod_channel=searchbox_feed&cr=2&cd=0&pd=1&pt=3&logid=3367824824&vid=12591636700864987693&klogid=3367824824&abtest=114240_2-114675_1
陈奕迅,https://vd3.bdstatic.com/mda-pj877ew03d0qzw5w/wzdash/bd264/1698886248444330741/mda-pj877ew03d0qzw5w/dash-default.mp4?cr=0&cd=1&abtest=114240_2-114675_1&logid=0149622148&pd=1&pt=3&vid=7886304255961148255
2022流行曲,https://tx-safety-video.acfun.cn/mediacloud/acfun/acfun_video/e8b3a4e322649adb-ad70abb1cd4ae38ab200c72b14fa99bc-hls_720p_2.m3u8?pkey=ABBjkxF_Dr6HiFNvzk4jHkJ_Nr3C6zfBHeX_ORiSlYBIs3RfUuzFnDzCyWccXHCEMeWIAsA651YHEcqPpakunzAko1duHF9s2xQ1O-mWq5ZM56HwuxLeip5tAdMwx1rutr94OeFPnq4GOMSvmq63luPozqPHl4oOWlOdhUPxW0VoV0bwpXFCHr_eeXlo0SoQfyEX0cS2zfV0ezxRJxDhvkXDWBqEfwIt-ZvAtCf1bUhGJORr5asb_s-No4xMsEwpK2Y&safety_id=AAIVLKAOdqweu22xvhCtqZsr
王菲,https://vd3.bdstatic.com/mda-pjp2zxvdg24z7xyy/1080p/cae_h264/1698217775802767942/mda-pjp2zxvdg24z7xyy.mp4
刘德华,https://vd2.bdstatic.com/mda-pjkfx92jybywmm4j/720p/h264/1697888378863819752/mda-pjkfx92jybywmm4j.mp4
周华健,https://vd3.bdstatic.com/mda-pji6sfruirxv9r4c/1080p/cae_h264/1697750283363939899/mda-pji6sfruirxv9r4c.mp4
张杰,https://vd2.bdstatic.com/mda-pk6jcyq6n6izyb5k/1080p/cae_h264/1699636595933186529/mda-pk6jcyq6n6izyb5k.mp4
许嵩,https://vd4.bdstatic.com/mda-pk66m1g13zwiwsye/1080p/cae_h264/1699510119332446572/mda-pk66m1g13zwiwsye.mp4
陈奕迅,https://vd2.bdstatic.com/mda-pk1hwg2t7ftp6uxx/1080p/cae_h264/1699036876466221407/mda-pk1hwg2t7ftp6uxx.mp4
周传雄,https://vd2.bdstatic.com/mda-pjvcmh8hs1bxw4xt/1080p/cae_h264/1698766118317392328/mda-pjvcmh8hs1bxw4xt.mp4
李宗盛,https://vd2.bdstatic.com/mda-pkgfhem3t8g6b0z8/720p/h264/1700221942585471554/mda-pkgfhem3t8g6b0z8.mp4
伍佰,https://vd3.bdstatic.com/mda-pk18r357pqym2t2y/1080p/cae_h264/1698971417902472140/mda-pk18r357pqym2t2y.mp4
徐小凤,https://vd4.bdstatic.com/mda-pjn4efhjeky8r2nn/1080p/cae_h264/1698098599114610049/mda-pjn4efhjeky8r2nn.mp4
梅艳芳,https://vd3.bdstatic.com/mda-pjq3ne0y56wdxf2s/1080p/cae_h264/1698276899495565793/mda-pjq3ne0y56wdxf2s.mp4
情歌皇后韩宝仪,https://vd3.bdstatic.com/mda-pjk6ibxy1x1hbjw0/1080p/cae_h264/1697957504757447922/mda-pjk6ibxy1x1hbjw0.mp4
情歌皇后林玉英,https://vd3.bdstatic.com/mda-pjek8ypuvcz29eqc/1080p/cae_h264/1697481625020944488/mda-pjek8ypuvcz29eqc.mp4
情歌皇后林翠萍,https://vd4.bdstatic.com/mda-pjgii34m31isd2jf/1080p/cae_h264/1697664890514725754/mda-pjgii34m31isd2jf.mp4
千禧年的网红歌曲,https://vd4.bdstatic.com/mda-pji13pke7cv81n6i/1080p/cae_h264/1697857035086054570/mda-pji13pke7cv81n6i.mp4
情歌皇后龙飘飘,https://vd3.bdstatic.com/mda-pjfbcn2u4ddzy1uv/1080p/cae_h264/1697573757485631425/mda-pjfbcn2u4ddzy1uv.mp4
